cvr_nummer,navn,kommune_navn,antal_ansatte
15754176,Slagelse Erhvervsforening Team Slagelse,SLAGELSE,2
41447281,Grundejerforeningen Hyllerupvej,SLAGELSE,
32331203,NETTOTELT ApS,SLAGELSE,1
26476208,Handelsby.dk                      v/Brian M. Larsen,SLAGELSE,0
34232261,Gravstenen.dk v/Thomas Worm Hansen,SLAGELSE,0
33762186,ANPARTSSELSKABET AF 14. JUNI 2011,SLAGELSE,0
29716870,Dupont Consulting v/Jan Dupont Jensen,SLAGELSE,0
32624170,Slagelse Jazz Klub,SLAGELSE,
42650463,MQ Invest ApS,SLAGELSE,
76011818,GRUNDEJERFORENINGEN MATR NR 29I,SLAGELSE,0
37288993,Clinique Beauty - Negle Klinik,SLAGELSE,
13585687,JØRGEN ULRIK CHRISTENSEN,SLAGELSE,0
38936492,Acobs ApS,SLAGELSE,
20203072,ASKEPOT                           JANE JACOBSEN,SLAGELSE,0
15160632,Lyngholm Radio v/Lars Lyngholm,SLAGELSE,1
30264509,Stillinge IF,SLAGELSE,1
28985487,KINDERTOFTE GL. SKOLE ApS,SLAGELSE,1
33526369,Din mobile frisør v/Louise Berth Larsen,SLAGELSE,0
19257037,ABF ÆBLELUNDEN,SLAGELSE,0
27338283,Klinik for Fysiurgisk Massage v/Hanne Henriksen,SLAGELSE,0
30400739,Slagelse Erhvervsråd,SLAGELSE,2
30028325,Milla-Petit v/Pia Toft Andersen,SLAGELSE,0
75413459,Meka Consult                      v/Karsten Jørgensen,SLAGELSE,0
31097452,Christina Christiansen,SLAGELSE,0
33420153,Vejsgårdtoftens grundejerforening,SLAGELSE,
25957407,Torben Hansen,SLAGELSE,0
39475332,Moffes.com ApS,SLAGELSE,
28250223,Psykolog Birgit Nilsson,SLAGELSE,0
26566932,Clan Rose Pipes & Drums of Denmark,SLAGELSE,
32401066,Jensen IT-service v/Jonas Simon Mandahl Jensen,SLAGELSE,0
34572283,MyTravel v/Kenny Zinn Saron Larsen,SLAGELSE,0
27412890,SAFETY VVS ApS,SLAGELSE,0
27402801,SAFETY HOLDING ApS,SLAGELSE,
21396931,HASSELBALCH EL-SERVICE V/THOMAS HASSELBALCH,SLAGELSE,0
21857378,Phuangthong I/S Import & Salg     v/Somwang P. Jacobsen,SLAGELSE,0
12653905,JUULS RENGØRING                   V/JOHN JUUL HANSEN,SLAGELSE,7
12554079,STILLINGEHALLEN,SLAGELSE,3
27322786,Tømrermester Henrik Hansen,SLAGELSE,
29971021,ANDERSEN NETVÆRK HOLDING ApS,SLAGELSE,
26248612,VEST-INVEST HOLDING ApS,SLAGELSE,1
33287011,Kirke-Stillinge Jagtforening,SLAGELSE,
17138944,BLIK OG BYG V/LARS JACOBSEN,SLAGELSE,1
32132456,Rytmekoret i Slagelse,SLAGELSE,1
21224383,RØSVA RENGØRING                   V/HEIDI LYNGHOLM,SLAGELSE,22
28008724,Slagelse Rengøring v/Tina Sørensen,SLAGELSE,0
30429745,HR Office v/Heidi Kryger Vang Hansen,SLAGELSE,1
35195424,Venstres Ungdom i Slagelse,SLAGELSE,
29750157,L K J/LEON K JOHANSEN,SLAGELSE,0
37703567,Blomsterhuset Skælskør ApS,SLAGELSE,3
15268794,AKTIVITETS-FORENINGEN I SLAGELSE  ØSTBY,SLAGELSE,1
72736052,SLAGELSE HOCKEYKLUB/KASSERER      MARIANNE PRUSSE-NIELSEN,SLAGELSE,
31389259,Designer Outlet v/Louise Tine Birkedal,SLAGELSE,
16766690,SLAGELSE HÅNDVÆRKER- OG INDUSTRIFORENINGS FOND,SLAGELSE,0
26332141,LEAF HOLDING ApS,SLAGELSE,1
25327152,Om Biler                          v/Oguz Konk,SLAGELSE,0
20002999,Slagelse Forenede Håndboldklubber,SLAGELSE,18
35041559,KØRELÆRER/PREBEN JØRGEN STAHL     MORTENSEN,SLAGELSE,0
57960728,AAGE ERSLEV A/S,SLAGELSE,6
26892058,EV BOLIGINVEST ApS,SLAGELSE,1
20222476,VEST TRANSPORT V/JESPER BRUUN PEDERSEN,SLAGELSE,0
39553287,sind i slagelse,SLAGELSE,
25720296,Slagelse Festuge,SLAGELSE,1
28295413,EJENDOMSSELSKABET NORDVEJ 10 ApS,SLAGELSE,1
25307038,Løvens Kiosk Frugt og Grønt v/Amed Fatny El Safty,SLAGELSE,1
10166896,BAHNE SØRENSEN A/S,SLAGELSE,106
28191235,Isabella Shaems Hassna v/Nail Abu Hassna,SLAGELSE,2
20587482,TJØRNEHØJGÅRD V/STEFFEN KVIST RASMUSSEN,SLAGELSE,0
33634765,Fredly/Virkely,SLAGELSE,
34798591,VSG&I Fitness afd.,SLAGELSE,
38304917,LILLE VALBY FORSAMLINGSHUS TOFTEBJERGGÅRD,SLAGELSE,
34679967,Grundejerforeningen Højbjergparken,SLAGELSE,
14131981,GÅRDEJER OVE ANDERSEN,SLAGELSE,0
20064706,Nordlys Massage & Terapi          v/Merete Bonnesen,SLAGELSE,0
31623367,STILLINGE ERHVERVSPARK ApS,SLAGELSE,21
32724515,Vejlauget Mølleager,SLAGELSE,
38112163,Liberal Alliance Slagelse,SLAGELSE,
32799434,Agersø Beboerforening,SLAGELSE,
34007616,Skyproduction v/Theis Wiben Elkjær,SLAGELSE,0
31813352,NIELS-PETER KRISTENSEN,SLAGELSE,0
18103400,Picco-Bello v/Khaled Hussein Charide,SLAGELSE,1
25488032,BRUNO HANSEN HOLDING ApS,SLAGELSE,
25161467,SØREN JUL MADSEN HOLDING ApS,SLAGELSE,2
89786517,MENIGHEDSPLEJEN I SLAGELSE,SLAGELSE,1
36465182,BRIDGE BY DERMATOLOGY IVS,SLAGELSE,1
