,cvr_nummer,navn,kommune_navn,antal_ansatte
0,15754176,Slagelse Erhvervsforening Team Slagelse,SLAGELSE,2.0
1,41447281,Grundejerforeningen Hyllerupvej,SLAGELSE,
2,32331203,NETTOTELT ApS,SLAGELSE,1.0
3,26476208,Handelsby.dk                      v/Brian M. Larsen,SLAGELSE,0.0
4,34232261,Gravstenen.dk v/Thomas Worm Hansen,SLAGELSE,0.0
5,33762186,ANPARTSSELSKABET AF 14. JUNI 2011,SLAGELSE,0.0
6,29716870,Dupont Consulting v/Jan Dupont Jensen,SLAGELSE,0.0
7,32624170,Slagelse Jazz Klub,SLAGELSE,
8,42650463,MQ Invest ApS,SLAGELSE,
9,76011818,GRUNDEJERFORENINGEN MATR NR 29I,SLAGELSE,0.0
10,37288993,Clinique Beauty - Negle Klinik,SLAGELSE,
11,13585687,JØRGEN ULRIK CHRISTENSEN,SLAGELSE,0.0
12,38936492,Acobs ApS,SLAGELSE,
13,20203072,ASKEPOT                           JANE JACOBSEN,SLAGELSE,0.0
14,15160632,Lyngholm Radio v/Lars Lyngholm,SLAGELSE,1.0
15,28985487,KINDERTOFTE GL. SKOLE ApS,SLAGELSE,1.0
16,30264509,Stillinge IF,SLAGELSE,1.0
17,33526369,Din mobile frisør v/Louise Berth Larsen,SLAGELSE,0.0
18,19257037,ABF ÆBLELUNDEN,SLAGELSE,0.0
19,27338283,Klinik for Fysiurgisk Massage v/Hanne Henriksen,SLAGELSE,0.0
20,30400739,Slagelse Erhvervsråd,SLAGELSE,2.0
21,34572283,MyTravel v/Kenny Zinn Saron Larsen,SLAGELSE,0.0
22,27412890,SAFETY VVS ApS,SLAGELSE,0.0
23,30028325,Milla-Petit v/Pia Toft Andersen,SLAGELSE,0.0
24,75413459,Meka Consult                      v/Karsten Jørgensen,SLAGELSE,0.0
25,31097452,Christina Christiansen,SLAGELSE,0.0
26,33420153,Vejsgårdtoftens grundejerforening,SLAGELSE,
27,25957407,Torben Hansen,SLAGELSE,0.0
28,39475332,Moffes.com ApS,SLAGELSE,
29,28250223,Psykolog Birgit Nilsson,SLAGELSE,0.0
30,26566932,Clan Rose Pipes & Drums of Denmark,SLAGELSE,
31,32401066,Jensen IT-service v/Jonas Simon Mandahl Jensen,SLAGELSE,0.0
32,27402801,SAFETY HOLDING ApS,SLAGELSE,
33,21396931,HASSELBALCH EL-SERVICE V/THOMAS HASSELBALCH,SLAGELSE,0.0
34,28008724,Slagelse Rengøring v/Tina Sørensen,SLAGELSE,0.0
35,21857378,Phuangthong I/S Import & Salg     v/Somwang P. Jacobsen,SLAGELSE,0.0
36,27322786,Tømrermester Henrik Hansen,SLAGELSE,
37,12653905,JUULS RENGØRING                   V/JOHN JUUL HANSEN,SLAGELSE,7.0
38,12554079,STILLINGEHALLEN,SLAGELSE,3.0
39,26248612,VEST-INVEST HOLDING ApS,SLAGELSE,1.0
40,29971021,ANDERSEN NETVÆRK HOLDING ApS,SLAGELSE,
41,33287011,Kirke-Stillinge Jagtforening,SLAGELSE,
42,17138944,BLIK OG BYG V/LARS JACOBSEN,SLAGELSE,1.0
43,32132456,Rytmekoret i Slagelse,SLAGELSE,1.0
44,21224383,RØSVA RENGØRING                   V/HEIDI LYNGHOLM,SLAGELSE,22.0
45,30429745,HR Office v/Heidi Kryger Vang Hansen,SLAGELSE,1.0
46,35195424,Venstres Ungdom i Slagelse,SLAGELSE,
47,29750157,L K J/LEON K JOHANSEN,SLAGELSE,0.0
48,37703567,Blomsterhuset Skælskør ApS,SLAGELSE,3.0
49,15268794,AKTIVITETS-FORENINGEN I SLAGELSE  ØSTBY,SLAGELSE,1.0
50,72736052,SLAGELSE HOCKEYKLUB/KASSERER      MARIANNE PRUSSE-NIELSEN,SLAGELSE,
51,31389259,Designer Outlet v/Louise Tine Birkedal,SLAGELSE,
52,26332141,LEAF HOLDING ApS,SLAGELSE,1.0
53,16766690,SLAGELSE HÅNDVÆRKER- OG INDUSTRIFORENINGS FOND,SLAGELSE,0.0
54,25327152,Om Biler                          v/Oguz Konk,SLAGELSE,0.0
55,20002999,Slagelse Forenede Håndboldklubber,SLAGELSE,18.0
56,35041559,KØRELÆRER/PREBEN JØRGEN STAHL     MORTENSEN,SLAGELSE,0.0
57,57960728,AAGE ERSLEV A/S,SLAGELSE,6.0
58,26892058,EV BOLIGINVEST ApS,SLAGELSE,1.0
59,20222476,VEST TRANSPORT V/JESPER BRUUN PEDERSEN,SLAGELSE,0.0
60,39553287,sind i slagelse,SLAGELSE,
61,25720296,Slagelse Festuge,SLAGELSE,1.0
62,28295413,EJENDOMSSELSKABET NORDVEJ 10 ApS,SLAGELSE,1.0
63,25307038,Løvens Kiosk Frugt og Grønt v/Amed Fatny El Safty,SLAGELSE,1.0
64,10166896,BAHNE SØRENSEN A/S,SLAGELSE,106.0
65,28191235,Isabella Shaems Hassna v/Nail Abu Hassna,SLAGELSE,2.0
66,20587482,TJØRNEHØJGÅRD V/STEFFEN KVIST RASMUSSEN,SLAGELSE,0.0
67,33634765,Fredly/Virkely,SLAGELSE,
68,34798591,VSG&I Fitness afd.,SLAGELSE,
69,38304917,LILLE VALBY FORSAMLINGSHUS TOFTEBJERGGÅRD,SLAGELSE,
70,34679967,Grundejerforeningen Højbjergparken,SLAGELSE,
71,14131981,GÅRDEJER OVE ANDERSEN,SLAGELSE,0.0
72,20064706,Nordlys Massage & Terapi          v/Merete Bonnesen,SLAGELSE,0.0
73,31623367,STILLINGE ERHVERVSPARK ApS,SLAGELSE,21.0
74,32724515,Vejlauget Mølleager,SLAGELSE,
75,38112163,Liberal Alliance Slagelse,SLAGELSE,
76,32799434,Agersø Beboerforening,SLAGELSE,
77,34007616,Skyproduction v/Theis Wiben Elkjær,SLAGELSE,0.0
78,31813352,NIELS-PETER KRISTENSEN,SLAGELSE,0.0
79,18103400,Picco-Bello v/Khaled Hussein Charide,SLAGELSE,1.0
80,89786517,MENIGHEDSPLEJEN I SLAGELSE,SLAGELSE,1.0
81,25488032,BRUNO HANSEN HOLDING ApS,SLAGELSE,
82,25161467,SØREN JUL MADSEN HOLDING ApS,SLAGELSE,2.0
83,36465182,BRIDGE BY DERMATOLOGY IVS,SLAGELSE,1.0
84,34416559,KaffeHjørnet v/Mads Moss,SLAGELSE,0.0
85,20976802,TRAFIK- OG TRANSPORTCENTER        SJÆLLAND A/S,SLAGELSE,0.0
86,28994524,MØLLER & STRANDET INVEST ApS,SLAGELSE,2.0
87,37494437,Vikar og Gastronomi IVS,SLAGELSE,0.0
88,27369545,BOLIG - X - PERTEN ApS,SLAGELSE,1.0
89,31316170,Andersen Translation v/Elena Bang-Andersen,SLAGELSE,0.0
90,38042971,BOIHUS,SLAGELSE,
91,30293436,Ekstrem Byg v/Brian Christophersen,SLAGELSE,0.0
92,53489214,ODD FELLOW BYGNINGENS RESTAURANT,SLAGELSE,2.0
93,32830439,CESTEK ApS,SLAGELSE,1.0
94,38551663,Musicalforeningen Storebælt,SLAGELSE,
95,30001672,Anders Sværke,SLAGELSE,
96,36578173,K-BILER,SLAGELSE,0.0
