CVR Nummer,Navn,Kommune Navn
15754176,Slagelse Erhvervsforening Team Slagelse,SLAGELSE
34232261,Gravstenen.dk v/Thomas Worm Hansen,SLAGELSE
41447281,Grundejerforeningen Hyllerupvej,SLAGELSE
32331203,NETTOTELT ApS,SLAGELSE
26476208,Handelsby.dk                      v/Brian M. Larsen,SLAGELSE
33762186,ANPARTSSELSKABET AF 14. JUNI 2011,SLAGELSE
29716870,Dupont Consulting v/Jan Dupont Jensen,SLAGELSE
32624170,Slagelse Jazz Klub,SLAGELSE
42650463,MQ Invest ApS,SLAGELSE
76011818,GRUNDEJERFORENINGEN MATR NR 29I,SLAGELSE
37288993,Clinique Beauty - Negle Klinik,SLAGELSE
13585687,JØRGEN ULRIK CHRISTENSEN,SLAGELSE
38936492,Acobs ApS,SLAGELSE
20203072,ASKEPOT                           JANE JACOBSEN,SLAGELSE
15160632,Lyngholm Radio v/Lars Lyngholm,SLAGELSE
28985487,KINDERTOFTE GL. SKOLE ApS,SLAGELSE
30264509,Stillinge IF,SLAGELSE
33526369,Din mobile frisør v/Louise Berth Larsen,SLAGELSE
19257037,ABF ÆBLELUNDEN,SLAGELSE
30400739,Slagelse Erhvervsråd,SLAGELSE
27338283,Klinik for Fysiurgisk Massage v/Hanne Henriksen,SLAGELSE
27402801,SAFETY HOLDING ApS,SLAGELSE
30028325,Milla-Petit v/Pia Toft Andersen,SLAGELSE
75413459,Meka Consult                      v/Karsten Jørgensen,SLAGELSE
31097452,Christina Christiansen,SLAGELSE
33420153,Vejsgårdtoftens grundejerforening,SLAGELSE
25957407,Torben Hansen,SLAGELSE
39475332,Moffes.com ApS,SLAGELSE
28250223,Psykolog Birgit Nilsson,SLAGELSE
26566932,Clan Rose Pipes & Drums of Denmark,SLAGELSE
32401066,Jensen IT-service v/Jonas Simon Mandahl Jensen,SLAGELSE
34572283,MyTravel v/Kenny Zinn Saron Larsen,SLAGELSE
27412890,SAFETY VVS ApS,SLAGELSE
30429745,HR Office v/Heidi Kryger Vang Hansen,SLAGELSE
37703567,Blomsterhuset Skælskør ApS,SLAGELSE
35195424,Venstres Ungdom i Slagelse,SLAGELSE
29750157,L K J/LEON K JOHANSEN,SLAGELSE
21857378,Phuangthong I/S Import & Salg     v/Somwang P. Jacobsen,SLAGELSE
27322786,Tømrermester Henrik Hansen,SLAGELSE
12653905,JUULS RENGØRING                   V/JOHN JUUL HANSEN,SLAGELSE
12554079,STILLINGEHALLEN,SLAGELSE
26248612,VEST-INVEST HOLDING ApS,SLAGELSE
29971021,ANDERSEN NETVÆRK HOLDING ApS,SLAGELSE
33287011,Kirke-Stillinge Jagtforening,SLAGELSE
17138944,BLIK OG BYG V/LARS JACOBSEN,SLAGELSE
32132456,Rytmekoret i Slagelse,SLAGELSE
21224383,RØSVA RENGØRING                   V/HEIDI LYNGHOLM,SLAGELSE
28008724,Slagelse Rengøring v/Tina Sørensen,SLAGELSE
72736052,SLAGELSE HOCKEYKLUB/KASSERER      MARIANNE PRUSSE-NIELSEN,SLAGELSE
15268794,AKTIVITETS-FORENINGEN I SLAGELSE  ØSTBY,SLAGELSE
31389259,Designer Outlet v/Louise Tine Birkedal,SLAGELSE
